Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,1985_1989,1990_1994
911,1012,,57,1971,2001,3,3
911,57,,1012,1971,2001,3,3
911,58,,57,1980-1989,2001,2,2
911,57,,58,1980-1989,2001,2,2
911,1032,,57,1980-1989,2001,2,2
911,57,,1032,1980-1989,2001,2,2
911,1012,,58,1980-1989,,2,2
911,58,,1012,1980-1989,,2,2
911,1032,,1012,1975-1979,,2,2
911,1012,,1032,1975-1979,,2,2
911,1032,,58,1980-1989,2004; resume 2005,2,2
911,58,,1032,1980-1989,2004; resume 2005,2,2
911,1036,,54,1990-1999,2001,1,1
911,54,,1036,1990-1999,2001,1,1
911,61,,60,1993,2001, ,3
911,60,,61,1993,2001, ,3
911,1014,,61,1998,1999, , 
911,61,,1014,1998,1999, , 
911,1030,,63,1993,2000, ,2
911,63,,1030,1993,2000, ,2
911,1037,,63,1994,1998, ,2
911,63,,1037,1994,1998, ,2
911,1035,,63,1994,1996, ,2
911,63,,1035,1994,1996, ,2
911,1033,,60,1995,2001, , 
911,60,,1033,1995,2001, , 
911,1033,,61,1995,2002, , 
911,61,,1033,1995,2002, , 
911,1026,,60,1995,1998, , 
911,60,,1026,1995,1998, , 
911,1026,,1033,1995,1996,,
911,1033,,1026,1995,1996,,
911,1037,,1026,1995,1998,,
911,1026,,1037,1995,1998,,
911,63,,60,1995,2001, , 
911,60,,63,1995,2001, , 
911,61,,63,1995,2001, , 
911,63,,61,1995,2001, , 
911,1026,,63,1996,1998, , 
911,63,,1026,1996,1998, , 
911,59,,64,1995,1999, , 
911,64,,59,1995,1999, , 
911,64,,63,1997,2001, , 
911,63,,64,1997,2001, , 
911,57,,650,1991,2001, ,2
911,650,,57,1991,2001, ,2
911,1011,,65,1996,2001, , 
911,65,,1011,1996,2001, , 
911,1015,,65,1996,2000, , 
911,65,,1015,1996,2000, , 
911,1034,,61,1997,2002, , 
911,61,,1034,1997,2002, , 
911,1034,,1037,1996,1998,,
911,1037,,1034,1996,1998,,
911,1034,,1026,1996,1998,,
911,1026,,1034,1996,1998,,
911,1033,,63,1995,2000, , 
911,63,,1033,1995,2000, , 
911,1030,,1037,1996,1998,,
911,1037,,1030,1996,1998,,
911,1030,,1035,1994,1996,,1
911,1035,,1030,1994,1996,,1
911,1026,,1030,1996,1998,,
911,1030,,1026,1996,1998,,
911,1030,,60,1995,2001, , 
911,60,,1030,1995,2001, , 
911,1030,,61,1995,2002, , 
911,61,,1030,1995,2002, , 
911,1030,,1033,1993,,,0
911,1033,,1030,1993,,,0
911,1037,,1035,1996,1998,,
911,1035,,1037,1996,1998,,
911,1037,,60,1996,1998,,
911,60,,1037,1996,1998,,
911,61,,1037,1996,1998,,
911,1037,,61,1996,1998,,
911,1033,,1037,1996,1998,,
911,1037,,1033,1996,1998,,
911,1026,,1035,1996,1998,,
911,1035,,1026,1996,1998,,
911,60,,1035,1996,1996,,
911,1035,,60,1996,1996,,
911,1035,,61,1994,2002, ,1
911,61,,1035,1994,2002, ,1
911,1033,,1035,1996,1996,,
911,1035,,1033,1996,1996,,
911,1026,,61,1996,1998, , 
911,61,,1026,1996,1998, , 
911,60,,64,1997,2001,,
911,64,,60,1997,2001,,
911,61,,64,1997,2001, , 
911,64,,61,1997,2001, , 
911,62,,64,1997,2002, , 
911,64,,62,1997,2002, , 
911,1012,,64,1997,2001, , 
911,64,,1012,1997,2001, , 
911,1032,,64,1997,1997,,
911,64,,1032,1997,1997,,
911,64,,58,1997,1999,,
911,58,,64,1997,1999,,
911,57,,64,1997,2001, , 
911,64,,57,1997,2001, , 
911,66,,64,1997,2001, , 
911,64,,66,1997,2001, , 
911,66,,63,1997,2001, , 
911,63,,66,1997,2001, , 
911,60,,62,1996,2001, , 
911,62,,60,1996,2001, , 
911,62,,63,1997,2001, , 
911,63,,62,1997,2001, , 
911,1016,,65,1996,2001, , 
911,65,,1016,1996,2001, , 
911,1017,,65,1997,2001, , 
911,65,,1017,1997,2001, , 
911,1017,,1016,1997,, , 
911,1016,,1017,1997,, , 
911,1026,,1016,1996,1998, , 
911,1016,,1026,1996,1998, , 
911,1016,,1037,1998,1998,,
911,1037,,1016,1998,1998,,
911,1016,,1037,1998,1998,,
911,1038,,1016,1998,1998,,
911,1016,,1039,1998,1998,,
911,1039,,1016,1998,1998,,
911,1017,,1040,,,,
911,1040,,1017,,,,
911,1017,,60,1997,2001, , 
911,60,,1017,1997,2001, , 
911,1031,,64,1997,2001, , 
911,64,,1031,1997,2001, , 
911,64,,1025,1997,1997,,
911,1025,,64,1997,1997,,
911,64,,1041,1997,1997,,
911,1041,,64,1997,1997,,
911,65,,64,1997,2001, , 
911,64,,65,1997,2001, , 
911,1014,,64,1997,1999, , 
911,64,,1014,1997,1999, , 
911,1014,,63,1997,2001, , 
911,63,,1014,1997,2001, , 
911,1016,,64,1998,2001, , 
911,64,,1016,1998,2001, , 
911,1017,,64,1998,2001, , 
911,64,,1017,1998,2001, , 
911,61,,1005,1998,2001, , 
911,1005,,61,1998,2001, , 
911,1016,,1005,1998,2001,,
911,1005,,1016,1998,2001,,
911,1005,,1037,1998,1998,,
911,1037,,1005,1998,1998,,
911,1005,,65,1998,2000, , 
911,65,,1005,1998,2000, , 
911,1035,,1005,1997,2001, , 
911,1005,,1035,1997,2001, , 
911,1005,,1042,1999,1999,,
911,1042,,1005,1999,1999,,
911,57,,62,1998,2001, , 
911,62,,57,1998,2001, , 
911,62,,65,1997,2001, , 
911,65,,62,1997,2001, , 
911,62,,66,1998,2001, , 
911,66,,62,1998,2001, , 
911,1005,,62,1998,, , 
911,62,,1005,1998,, , 
911,61,,62,1997,2001, , 
911,62,,61,1997,2001, , 
911,1016,,62,1997,2001, , 
911,62,,1016,1997,2001, , 
911,1017,,62,1997,2001, , 
911,62,,1017,1997,2001, , 
911,58,,62,1998,2001, , 
911,62,,58,1998,2001, , 
911,57,,62,1998,2001, , 
911,62,,57,1998,2001, , 
911,57,,65,1998,2000, , 
911,65,,57,1998,2000, , 
911,57,,66,1998,2000, , 
911,66,,57,1998,2000, , 
911,57,,1005,1998,2001, , 
911,1005,,57,1998,2001, , 
911,57,,60,1995,2001, , 
911,60,,57,1995,2001, , 
911,57,,61,1995,2001, , 
911,61,,57,1995,2001, , 
911,1016,,57,1999,1999,,
911,57,,1016,1999,1999,,
911,1017,,57,1997,2001, , 
911,57,,1017,1997,2001, , 
911,1005,,64,1998,2002, , 
911,64,,1005,1998,2002, , 
911,65,,66,1998,2001, , 
911,66,,65,1998,2001, , 
911,60,,65,1998,2000, , 
911,65,,60,1998,2000, , 
911,61,,65,1997,2000, , 
911,65,,61,1997,2000, , 
911,58,,65,1998,2000, , 
911,65,,58,1998,2000, , 
911,1005,,66,1998,2001, , 
911,66,,1005,1998,2001, , 
911,60,,66,1998,2001, , 
911,66,,60,1998,2001, , 
911,61,,66,1998,2001, , 
911,66,,61,1998,2001, , 
911,1016,,66,1998,2000, , 
911,66,,1016,1998,2000, , 
911,1017,,66,1998,2000, , 
911,66,,1017,1998,2000, , 
911,58,,66,1999,2001, , 
911,66,,58,1999,2001, , 
911,60,,1005,1998,2001, , 
911,1005,,60,1998,2001, , 
911,1005,,1017,1999,1999,,
911,1017,,1005,1999,1999,,
911,58,,1005,1998,2001, , 
911,1005,,58,1998,2001, , 
911,1016,,60,1997,2001, , 
911,60,,1016,1997,2001, , 
911,58,,60,1995,2001, , 
911,60,,58,1995,2001, , 
911,61,,1016,1998,1999,,
911,1016,,61,1998,1999,,
911,1017,,61,1998,2002, , 
911,61,,1017,1998,2002, , 
911,58,,61,1995,2002, , 
911,61,,58,1995,2002, , 
911,1017,,1016,1997,, , 
911,1016,,1017,1997,, , 
911,58,,1016,1998,2001, , 
911,1016,,58,1998,2001, , 
911,58,,1017,1997,2001, , 
911,1017,,58,1997,2001, , 
911,64,,1039,1999,1999,,
911,1039,,64,1999,1999,,
911,61,,1039,2001,2001,,
911,1039,,61,2001,2001,,
911,1005,,1039,1999,2001,,
911,1039,,1005,1999,2001,,
911,64,,650,1999,2002, , 
911,650,,64,1999,2002, , 
911,63,,650,1999,1999, , 
911,650,,63,1999,1999, , 
911,66,,650,1999,1999, , 
911,650,,66,1999,1999, , 
911,65,,650,1999,2000, , 
911,650,,65,1999,2000, , 
911,65,,63,1997,2001, , 
911,63,,65,1997,2001, , 