Source,Target,Type,Id,Label,timeset,Weight,operation_id,op_role,tie_year,tie_extinguish,kinship,1985_1989,1990_1994
1012,57,Directed,4412,,,1,911,,1971,2001,,3,3
57,1012,Directed,4413,,,1,911,,1971,2001,,3,3
58,57,Directed,4414,,,1,911,,1980-1989,2001,,2,2
57,58,Directed,4415,,,1,911,,1980-1989,2001,,2,2
1032,57,Directed,4416,,,1,911,,1980-1989,2001,,2,2
57,1032,Directed,4417,,,1,911,,1980-1989,2001,,2,2
1012,58,Directed,4418,,,1,911,,1980-1989,,,2,2
58,1012,Directed,4419,,,1,911,,1980-1989,,,2,2
1032,1012,Directed,4420,,,1,911,,1975-1979,,,2,2
1012,1032,Directed,4421,,,1,911,,1975-1979,,,2,2
1032,58,Directed,4422,,,1,911,,1980-1989,,,2,2
58,1032,Directed,4423,,,1,911,,1980-1989,,,2,2
61,60,Directed,4426,,,1,911,,1993,2001,,,3
60,61,Directed,4427,,,1,911,,1993,2001,,,3
1014,61,Directed,4428,,,1,911,,1998,1999,,,
61,1014,Directed,4429,,,1,911,,1998,1999,,,
1030,63,Directed,4430,,,1,911,,1993,2000,,,2
63,1030,Directed,4431,,,1,911,,1993,2000,,,2
1037,63,Directed,4432,,,1,911,,1994,1998,,,2
63,1037,Directed,4433,,,1,911,,1994,1998,,,2
1035,63,Directed,4434,,,1,911,,1994,1996,,,2
63,1035,Directed,4435,,,1,911,,1994,1996,,,2
1033,60,Directed,4436,,,1,911,,1995,2001,,,
60,1033,Directed,4437,,,1,911,,1995,2001,,,
1033,61,Directed,4438,,,1,911,,1995,2002,,,
61,1033,Directed,4439,,,1,911,,1995,2002,,,
1026,60,Directed,4440,,,1,911,,1995,1998,,,
60,1026,Directed,4441,,,1,911,,1995,1998,,,
1026,1033,Directed,4442,,,1,911,,1995,1996,,,
1033,1026,Directed,4443,,,1,911,,1995,1996,,,
1037,1026,Directed,4444,,,1,911,,1995,1998,,,
1026,1037,Directed,4445,,,1,911,,1995,1998,,,
63,60,Directed,4446,,,1,911,,1995,2001,,,
60,63,Directed,4447,,,1,911,,1995,2001,,,
61,63,Directed,4448,,,1,911,,1995,2001,,,
63,61,Directed,4449,,,1,911,,1995,2001,,,
1026,63,Directed,4450,,,1,911,,1996,1998,,,
63,1026,Directed,4451,,,1,911,,1996,1998,,,
59,64,Directed,4452,,,1,911,,1995,1999,,,
64,59,Directed,4453,,,1,911,,1995,1999,,,
64,63,Directed,4454,,,1,911,,1997,2001,,,
63,64,Directed,4455,,,1,911,,1997,2001,,,
1011,65,Directed,4458,,,1,911,,1996,2001,,,
65,1011,Directed,4459,,,1,911,,1996,2001,,,
1015,65,Directed,4460,,,1,911,,1996,2000,,,
65,1015,Directed,4461,,,1,911,,1996,2000,,,
1034,61,Directed,4462,,,1,911,,1997,2002,,,
61,1034,Directed,4463,,,1,911,,1997,2002,,,
1034,1037,Directed,4464,,,1,911,,1996,1998,,,
1037,1034,Directed,4465,,,1,911,,1996,1998,,,
1034,1026,Directed,4466,,,1,911,,1996,1998,,,
1026,1034,Directed,4467,,,1,911,,1996,1998,,,
1033,63,Directed,4468,,,1,911,,1995,2000,,,
63,1033,Directed,4469,,,1,911,,1995,2000,,,
1030,1037,Directed,4470,,,1,911,,1996,1998,,,
1037,1030,Directed,4471,,,1,911,,1996,1998,,,
1030,1035,Directed,4472,,,1,911,,1994,1996,,,1
1035,1030,Directed,4473,,,1,911,,1994,1996,,,1
1026,1030,Directed,4474,,,1,911,,1996,1998,,,
1030,1026,Directed,4475,,,1,911,,1996,1998,,,
1030,60,Directed,4476,,,1,911,,1995,2001,,,
60,1030,Directed,4477,,,1,911,,1995,2001,,,
1030,61,Directed,4478,,,1,911,,1995,2002,,,
61,1030,Directed,4479,,,1,911,,1995,2002,,,
1030,1033,Directed,4480,,,1,911,,1993,,,,0
1033,1030,Directed,4481,,,1,911,,1993,,,,0
1037,1035,Directed,4482,,,1,911,,1996,1998,,,
1035,1037,Directed,4483,,,1,911,,1996,1998,,,
1037,60,Directed,4484,,,1,911,,1996,1998,,,
60,1037,Directed,4485,,,1,911,,1996,1998,,,
61,1037,Directed,4486,,,1,911,,1996,1998,,,
1037,61,Directed,4487,,,1,911,,1996,1998,,,
1033,1037,Directed,4488,,,1,911,,1996,1998,,,
1037,1033,Directed,4489,,,1,911,,1996,1998,,,
1026,1035,Directed,4490,,,1,911,,1996,1998,,,
1035,1026,Directed,4491,,,1,911,,1996,1998,,,
60,1035,Directed,4492,,,1,911,,1996,1996,,,
1035,60,Directed,4493,,,1,911,,1996,1996,,,
1035,61,Directed,4494,,,1,911,,1994,2002,,,1
61,1035,Directed,4495,,,1,911,,1994,2002,,,1
1033,1035,Directed,4496,,,1,911,,1996,1996,,,
1035,1033,Directed,4497,,,1,911,,1996,1996,,,
1026,61,Directed,4498,,,1,911,,1996,1998,,,
61,1026,Directed,4499,,,1,911,,1996,1998,,,
60,64,Directed,4500,,,1,911,,1997,2001,,,
64,60,Directed,4501,,,1,911,,1997,2001,,,
61,64,Directed,4502,,,1,911,,1997,2001,,,
64,61,Directed,4503,,,1,911,,1997,2001,,,
62,64,Directed,4504,,,1,911,,1997,2002,,,
64,62,Directed,4505,,,1,911,,1997,2002,,,
1012,64,Directed,4506,,,1,911,,1997,2001,,,
64,1012,Directed,4507,,,1,911,,1997,2001,,,
1032,64,Directed,4508,,,1,911,,1997,1997,,,
64,1032,Directed,4509,,,1,911,,1997,1997,,,
64,58,Directed,4510,,,1,911,,1997,1999,,,
58,64,Directed,4511,,,1,911,,1997,1999,,,
57,64,Directed,4512,,,1,911,,1997,2001,,,
64,57,Directed,4513,,,1,911,,1997,2001,,,
66,64,Directed,4514,,,1,911,,1997,2001,,,
64,66,Directed,4515,,,1,911,,1997,2001,,,
66,63,Directed,4516,,,1,911,,1997,2001,,,
63,66,Directed,4517,,,1,911,,1997,2001,,,
60,62,Directed,4518,,,1,911,,1996,2001,,,
62,60,Directed,4519,,,1,911,,1996,2001,,,
62,63,Directed,4520,,,1,911,,1997,2001,,,
63,62,Directed,4521,,,1,911,,1997,2001,,,
1016,65,Directed,4522,,,1,911,,1996,2001,,,
65,1016,Directed,4523,,,1,911,,1996,2001,,,
1017,65,Directed,4524,,,1,911,,1997,2001,,,
65,1017,Directed,4525,,,1,911,,1997,2001,,,
1017,1016,Directed,4526,,,2,911,,1997,,,,
1016,1017,Directed,4527,,,2,911,,1997,,,,
1026,1016,Directed,4528,,,1,911,,1996,1998,,,
1016,1026,Directed,4529,,,1,911,,1996,1998,,,
1016,1037,Directed,4530,,,2,911,,1998,1998,,,
1037,1016,Directed,4531,,,1,911,,1998,1998,,,
1038,1016,Directed,4533,,,1,911,,1998,1998,,,
1016,1039,Directed,4534,,,1,911,,1998,1998,,,
1039,1016,Directed,4535,,,1,911,,1998,1998,,,
1017,1040,Directed,4536,,,1,911,,,,,,
1040,1017,Directed,4537,,,1,911,,,,,,
1017,60,Directed,4538,,,1,911,,1997,2001,,,
60,1017,Directed,4539,,,1,911,,1997,2001,,,
1031,64,Directed,4540,,,1,911,,1997,2001,,,
64,1031,Directed,4541,,,1,911,,1997,2001,,,
64,1025,Directed,4542,,,1,911,,1997,1997,,,
1025,64,Directed,4543,,,1,911,,1997,1997,,,
64,1041,Directed,4544,,,1,911,,1997,1997,,,
1041,64,Directed,4545,,,1,911,,1997,1997,,,
65,64,Directed,4546,,,1,911,,1997,2001,,,
64,65,Directed,4547,,,1,911,,1997,2001,,,
1014,64,Directed,4548,,,1,911,,1997,1999,,,
64,1014,Directed,4549,,,1,911,,1997,1999,,,
1014,63,Directed,4550,,,1,911,,1997,2001,,,
63,1014,Directed,4551,,,1,911,,1997,2001,,,
1016,64,Directed,4552,,,1,911,,1998,2001,,,
64,1016,Directed,4553,,,1,911,,1998,2001,,,
1017,64,Directed,4554,,,1,911,,1998,2001,,,
64,1017,Directed,4555,,,1,911,,1998,2001,,,
61,1005,Directed,4556,,,1,911,,1998,2001,,,
1005,61,Directed,4557,,,1,911,,1998,2001,,,
1016,1005,Directed,4558,,,1,911,,1998,2001,,,
1005,1016,Directed,4559,,,1,911,,1998,2001,,,
1005,1037,Directed,4560,,,1,911,,1998,1998,,,
1037,1005,Directed,4561,,,1,911,,1998,1998,,,
1005,65,Directed,4562,,,1,911,,1998,2000,,,
65,1005,Directed,4563,,,1,911,,1998,2000,,,
1035,1005,Directed,4564,,,1,911,,1997,2001,,,
1005,1035,Directed,4565,,,1,911,,1997,2001,,,
1005,1042,Directed,4566,,,1,911,,1999,1999,,,
1042,1005,Directed,4567,,,1,911,,1999,1999,,,
57,62,Directed,4568,,,2,911,,1998,2001,,,
62,57,Directed,4569,,,2,911,,1998,2001,,,
62,65,Directed,4570,,,1,911,,1997,2001,,,
65,62,Directed,4571,,,1,911,,1997,2001,,,
62,66,Directed,4572,,,1,911,,1998,2001,,,
66,62,Directed,4573,,,1,911,,1998,2001,,,
1005,62,Directed,4574,,,1,911,,1998,,,,
62,1005,Directed,4575,,,1,911,,1998,,,,
61,62,Directed,4576,,,1,911,,1997,2001,,,
62,61,Directed,4577,,,1,911,,1997,2001,,,
1016,62,Directed,4578,,,1,911,,1997,2001,,,
62,1016,Directed,4579,,,1,911,,1997,2001,,,
1017,62,Directed,4580,,,1,911,,1997,2001,,,
62,1017,Directed,4581,,,1,911,,1997,2001,,,
58,62,Directed,4582,,,1,911,,1998,2001,,,
62,58,Directed,4583,,,1,911,,1998,2001,,,
57,65,Directed,4586,,,1,911,,1998,2000,,,
65,57,Directed,4587,,,1,911,,1998,2000,,,
57,66,Directed,4588,,,1,911,,1998,2000,,,
66,57,Directed,4589,,,1,911,,1998,2000,,,
57,1005,Directed,4590,,,1,911,,1998,2001,,,
1005,57,Directed,4591,,,1,911,,1998,2001,,,
57,60,Directed,4592,,,1,911,,1995,2001,,,
60,57,Directed,4593,,,1,911,,1995,2001,,,
57,61,Directed,4594,,,1,911,,1995,2001,,,
61,57,Directed,4595,,,1,911,,1995,2001,,,
1016,57,Directed,4596,,,1,911,,1999,1999,,,
57,1016,Directed,4597,,,1,911,,1999,1999,,,
1017,57,Directed,4598,,,1,911,,1997,2001,,,
57,1017,Directed,4599,,,1,911,,1997,2001,,,
1005,64,Directed,4600,,,1,911,,1998,2002,,,
64,1005,Directed,4601,,,1,911,,1998,2002,,,
65,66,Directed,4602,,,1,911,,1998,2001,,,
66,65,Directed,4603,,,1,911,,1998,2001,,,
60,65,Directed,4604,,,1,911,,1998,2000,,,
65,60,Directed,4605,,,1,911,,1998,2000,,,
61,65,Directed,4606,,,1,911,,1997,2000,,,
65,61,Directed,4607,,,1,911,,1997,2000,,,
58,65,Directed,4608,,,1,911,,1998,2000,,,
65,58,Directed,4609,,,1,911,,1998,2000,,,
1005,66,Directed,4610,,,1,911,,1998,2001,,,
66,1005,Directed,4611,,,1,911,,1998,2001,,,
60,66,Directed,4612,,,1,911,,1998,2001,,,
66,60,Directed,4613,,,1,911,,1998,2001,,,
61,66,Directed,4614,,,1,911,,1998,2001,,,
66,61,Directed,4615,,,1,911,,1998,2001,,,
1016,66,Directed,4616,,,1,911,,1998,2000,,,
66,1016,Directed,4617,,,1,911,,1998,2000,,,
1017,66,Directed,4618,,,1,911,,1998,2000,,,
66,1017,Directed,4619,,,1,911,,1998,2000,,,
58,66,Directed,4620,,,1,911,,1999,2001,,,
66,58,Directed,4621,,,1,911,,1999,2001,,,
60,1005,Directed,4622,,,1,911,,1998,2001,,,
1005,60,Directed,4623,,,1,911,,1998,2001,,,
1005,1017,Directed,4624,,,1,911,,1999,1999,,,
1017,1005,Directed,4625,,,1,911,,1999,1999,,,
58,1005,Directed,4626,,,1,911,,1998,2001,,,
1005,58,Directed,4627,,,1,911,,1998,2001,,,
1016,60,Directed,4628,,,1,911,,1997,2001,,,
60,1016,Directed,4629,,,1,911,,1997,2001,,,
58,60,Directed,4630,,,1,911,,1995,2001,,,
60,58,Directed,4631,,,1,911,,1995,2001,,,
61,1016,Directed,4632,,,1,911,,1998,1999,,,
1016,61,Directed,4633,,,1,911,,1998,1999,,,
1017,61,Directed,4634,,,1,911,,1998,2002,,,
61,1017,Directed,4635,,,1,911,,1998,2002,,,
58,61,Directed,4636,,,1,911,,1995,2002,,,
61,58,Directed,4637,,,1,911,,1995,2002,,,
58,1016,Directed,4640,,,1,911,,1998,2001,,,
1016,58,Directed,4641,,,1,911,,1998,2001,,,
58,1017,Directed,4642,,,1,911,,1997,2001,,,
1017,58,Directed,4643,,,1,911,,1997,2001,,,
64,1039,Directed,4644,,,1,911,,1999,1999,,,
1039,64,Directed,4645,,,1,911,,1999,1999,,,
61,1039,Directed,4646,,,1,911,,2001,2001,,,
1039,61,Directed,4647,,,1,911,,2001,2001,,,
1005,1039,Directed,4648,,,1,911,,1999,2001,,,
1039,1005,Directed,4649,,,1,911,,1999,2001,,,